System,3wrobotNI
Controller,N_CTRL
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,452.5939559999999,45.25939559999999,-0.22000000000000003,-0.284
0.0011,-3.0000001847690716,-3.0001999478407635,1.5697418854166667,452.62316647778596,90.5217122477786,-0.22000000000000003,-0.284
0.009625025278351221,-3.00000443277506,-3.0020754481330694,1.567320778237615,452.89764024572986,135.81147627235157,-0.22000000000000003,-0.284
0.05962502527835122,-3.0001207606633944,-3.0130747405936202,1.553120778237615,454.5248394259639,181.26396021494796,-0.22000000000000003,-0.284
0.10962502527835122,-3.0003932615277176,-3.0240712723236376,1.538920778237615,457.30244675954236,226.9942048909022,1.0,0.5
0.1596250252783512,-2.9994203398366412,-2.9795993721441154,1.5603478615709485,450.54805528679293,272.0490104195815,1.0,0.5
0.2096250252783512,-2.9995229138322426,-2.929600779434373,1.5853478615709484,443.25578877886636,316.37458929746816,1.0,0.5
0.2596250252783512,-3.0008752903922837,-2.8796203745538684,1.6103478615709483,436.27987048608463,360.00257634607664,1.0,0.5
0.3096250252783512,-3.0034766243254363,-2.82968939362872,1.6353478615709482,429.6247100604494,402.9650473521216,1.0,0.5
0.35962502527835116,-3.0073252898826692,-2.779839041896682,1.6603478615709482,423.2945174719468,445.2944990993163,1.0,0.5
0.40962502527835115,-3.0124188817732884,-2.7301004742048884,1.685347861570948,417.2933003774514,487.0238291370614,1.0,0.5
0.45962502527835114,-3.018754216668166,-2.6805047755390863,1.710347861570948,411.6248616160724,528.1863152986687,1.0,0.5
0.5096250252783512,-3.026327335189217,-2.631082941596532,1.735347861570948,406.29279683250206,568.8155949819188,1.0,0.5
0.5596250252783512,-3.035133504383881,-2.5818658594146893,1.7603478615709478,401.3004922298556,608.9456442049044,1.0,0.5
0.6096250252783513,-3.045167220683065,-2.532884288067837,1.7853478615709477,396.6511224534043,648.6107564502448,1.0,0.5
0.6596250252783513,-3.056422213340693,-2.4841688394436474,1.8103478615709476,392.347648606525,687.8455213108973,1.0,0.5
0.7096250252783514,-3.06889144835272,-2.435749959111755,1.8353478615709475,388.3928164001074,726.6848029509081,1.0,0.5
0.7596250252783514,-3.082567132853155,-2.387657907296264,1.8603478615709474,384.7891544365741,765.1637183945655,1.0,0.5
0.8096250252783515,-3.097440719984348,-2.3399227399640954,1.8853478615709474,381.53897262958606,803.3176156575241,1.0,0.5
0.8596250252783515,-3.1135029142384973,-2.292574290040985,1.9103478615709473,378.64436076042216,841.1820517335664,1.0,0.5
0.9096250252783515,-3.130743677267042,-2.2456421487668763,1.9353478615709472,376.107187171934,878.7927704507598,1.0,0.5
0.9596250252783516,-3.1491522341542995,-2.1991556472023586,1.960347861570947,373.92909760089174,916.185680210849,1.0,0.5
1.0096250252783516,-3.16871708015144,-2.1531438378977086,1.985347861570947,372.1115141494529,953.3968316257943,1.0,0.5
1.0596250252783517,-3.1894259878665787,-2.1076354767359926,2.010347861570947,370.65563439639425,990.4623950654337,1.0,0.5
1.1096250252783517,-3.2112660149064975,-2.0626590049615756,2.035347861570947,369.56243064866464,1027.4186381303002,1.0,0.5
1.1596250252783518,-3.23422351196522,-2.0182425314052694,2.0603478615709467,368.83264933372476,1064.3019030636726,1.0,0.5
1.2096250252783518,-3.2582841313543836,-1.974413814917228,2.0853478615709466,368.46681053305326,1101.1485841169779,1.0,0.5
1.2596250252783519,-3.2834328359700766,-1.9312002470185698,2.1103478615709466,368.46520765711415,1137.9951048826892,1.0,0.5
1.309625025278352,-3.3096539086905405,-1.8886288347825697,2.1353478615709465,368.82790726198414,1174.8778956088877,1.0,0.5
1.359625025278352,-3.336930962198857,-1.8467261839561155,2.1603478615709464,369.55474900775687,1211.8333705096634,1.0,0.5
1.409625025278352,-3.3652469492244905,-1.8055184823319836,2.1853478615709463,370.645345758751,1248.8979050855385,1.0,0.5
1.459625025278352,-3.394584173197275,-1.7650314833823206,2.210347861570946,372.0990838254568,1286.1078134680843,1.0,0.5
1.509625025278352,-3.424924299307195,-1.7252904901635613,2.235347861570946,373.9151233480723,1323.4993258028915,1.0,0.5
1.5596250252783521,-3.4562483659630456,-1.6863203395028423,2.260347861570946,376.09239882138843,1361.1085656850303,1.0,0.5
1.6096250252783522,-3.4885367966428094,-1.6481453864757933,2.285347861570946,378.6296197606948,1398.9715276610998,1.0,0.5
