System,3wrobotNI
Controller,LQR
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,20.464899999999997,2.04649,0.0,0.0
0.0011,-3.0,-3.0,1.57,20.464899999999997,4.09298,0.0,0.0
0.0111,-3.0,-3.0,1.57,20.464899999999997,6.139469999999999,0.0,0.0
0.0611,-3.0,-3.0,1.57,20.464899999999997,8.18596,0.0,0.0
0.1111,-3.0,-3.0,1.57,20.464899999999997,10.23245,0.0,0.0
0.16110000000000002,-3.0,-3.0,1.57,20.464899999999997,12.27894,0.0,0.0
0.2111,-3.0,-3.0,1.57,20.464899999999997,14.32543,0.0,0.0
0.2611,-3.0,-3.0,1.57,20.464899999999997,16.37192,0.0,0.0
0.3111,-3.0,-3.0,1.57,20.464899999999997,18.418409999999998,0.0,0.0
0.3611,-3.0,-3.0,1.57,20.464899999999997,20.464899999999997,0.0,0.0
0.41109999999999997,-3.0,-3.0,1.57,20.464899999999997,22.511389999999995,0.0,0.0
0.46109999999999995,-3.0,-3.0,1.57,20.464899999999997,24.557879999999994,0.0,0.0
0.5111,-3.0,-3.0,1.57,20.464899999999997,26.604369999999992,0.0,0.0
0.5611,-3.0,-3.0,1.57,20.464899999999997,28.65085999999999,0.0,0.0
0.6111000000000001,-3.0,-3.0,1.57,20.464899999999997,30.69734999999999,0.0,0.0
0.6611000000000001,-3.0,-3.0,1.57,20.464899999999997,32.74383999999999,0.0,0.0
0.7111000000000002,-3.0,-3.0,1.57,20.464899999999997,34.79032999999999,0.0,0.0
0.7611000000000002,-3.0,-3.0,1.57,20.464899999999997,36.83681999999999,0.0,0.0
0.8111000000000003,-3.0,-3.0,1.57,20.464899999999997,38.88330999999999,0.0,0.0
0.8611000000000003,-3.0,-3.0,1.57,20.464899999999997,40.929799999999986,0.0,0.0
0.9111000000000004,-3.0,-3.0,1.57,20.464899999999997,42.976289999999985,0.0,0.0
0.9611000000000004,-3.0,-3.0,1.57,20.464899999999997,45.02277999999998,0.0,0.0
1.0111000000000003,-3.0,-3.0,1.57,20.464899999999997,47.06926999999998,0.0,0.0
1.0611000000000004,-3.0,-3.0,1.57,20.464899999999997,49.11575999999998,0.0,0.0
1.1111000000000004,-3.0,-3.0,1.57,20.464899999999997,51.16224999999998,0.0,0.0
1.1611000000000005,-3.0,-3.0,1.57,20.464899999999997,53.20873999999998,0.0,0.0
1.2111000000000005,-3.0,-3.0,1.57,20.464899999999997,55.255229999999976,0.0,0.0
1.2611000000000006,-3.0,-3.0,1.57,20.464899999999997,57.301719999999975,0.0,0.0
1.3111000000000006,-3.0,-3.0,1.57,20.464899999999997,59.34820999999997,0.0,0.0
1.3611000000000006,-3.0,-3.0,1.57,20.464899999999997,61.39469999999997,0.0,0.0
1.4111000000000007,-3.0,-3.0,1.57,20.464899999999997,63.44118999999997,0.0,0.0
1.4611000000000007,-3.0,-3.0,1.57,20.464899999999997,65.48767999999997,0.0,0.0
1.5111000000000008,-3.0,-3.0,1.57,20.464899999999997,67.53416999999997,0.0,0.0
1.5611000000000008,-3.0,-3.0,1.57,20.464899999999997,69.58065999999998,0.0,0.0
1.6111000000000009,-3.0,-3.0,1.57,20.464899999999997,71.62714999999999,0.0,0.0
1.661100000000001,-3.0,-3.0,1.57,20.464899999999997,73.67363999999999,0.0,0.0
1.711100000000001,-3.0,-3.0,1.57,20.464899999999997,75.72013,0.0,0.0
1.761100000000001,-3.0,-3.0,1.57,20.464899999999997,77.76662,0.0,0.0
1.811100000000001,-3.0,-3.0,1.57,20.464899999999997,79.81311000000001,0.0,0.0
1.861100000000001,-3.0,-3.0,1.57,20.464899999999997,81.85960000000001,0.0,0.0
1.9111000000000011,-3.0,-3.0,1.57,20.464899999999997,83.90609000000002,0.0,0.0
1.9611000000000012,-3.0,-3.0,1.57,20.464899999999997,85.95258000000003,0.0,0.0
