System,3wrobotNI
Controller,LQR
dt,0.1
state_init,[-2.   -2.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-2.0,-2.0,1.57,10.464900000000002,1.0464900000000001,0.0,0.0
0.0011,-2.0,-2.0,1.57,10.464900000000002,2.0929800000000003,0.0,0.0
0.0111,-2.0,-2.0,1.57,10.464900000000002,3.13947,0.0,0.0
0.0611,-2.0,-2.0,1.57,10.464900000000002,4.185960000000001,0.0,0.0
0.1111,-2.0,-2.0,1.57,10.464900000000002,5.232450000000001,0.0,0.0
0.16110000000000002,-2.0,-2.0,1.57,10.464900000000002,6.278940000000001,0.0,0.0
0.2111,-2.0,-2.0,1.57,10.464900000000002,7.325430000000002,0.0,0.0
0.2611,-2.0,-2.0,1.57,10.464900000000002,8.371920000000001,0.0,0.0
0.3111,-2.0,-2.0,1.57,10.464900000000002,9.418410000000002,0.0,0.0
0.3611,-2.0,-2.0,1.57,10.464900000000002,10.464900000000002,0.0,0.0
0.41109999999999997,-2.0,-2.0,1.57,10.464900000000002,11.511390000000002,0.0,0.0
0.46109999999999995,-2.0,-2.0,1.57,10.464900000000002,12.557880000000003,0.0,0.0
0.5111,-2.0,-2.0,1.57,10.464900000000002,13.604370000000003,0.0,0.0
0.5611,-2.0,-2.0,1.57,10.464900000000002,14.650860000000003,0.0,0.0
0.6111000000000001,-2.0,-2.0,1.57,10.464900000000002,15.697350000000004,0.0,0.0
0.6611000000000001,-2.0,-2.0,1.57,10.464900000000002,16.743840000000002,0.0,0.0
0.7111000000000002,-2.0,-2.0,1.57,10.464900000000002,17.79033,0.0,0.0
0.7611000000000002,-2.0,-2.0,1.57,10.464900000000002,18.83682,0.0,0.0
0.8111000000000003,-2.0,-2.0,1.57,10.464900000000002,19.883309999999998,0.0,0.0
0.8611000000000003,-2.0,-2.0,1.57,10.464900000000002,20.929799999999997,0.0,0.0
0.9111000000000004,-2.0,-2.0,1.57,10.464900000000002,21.976289999999995,0.0,0.0
0.9611000000000004,-2.0,-2.0,1.57,10.464900000000002,23.022779999999994,0.0,0.0
1.0111000000000003,-2.0,-2.0,1.57,10.464900000000002,24.069269999999992,0.0,0.0
1.0611000000000004,-2.0,-2.0,1.57,10.464900000000002,25.11575999999999,0.0,0.0
1.1111000000000004,-2.0,-2.0,1.57,10.464900000000002,26.16224999999999,0.0,0.0
1.1611000000000005,-2.0,-2.0,1.57,10.464900000000002,27.208739999999988,0.0,0.0
1.2111000000000005,-2.0,-2.0,1.57,10.464900000000002,28.255229999999987,0.0,0.0
1.2611000000000006,-2.0,-2.0,1.57,10.464900000000002,29.301719999999985,0.0,0.0
1.3111000000000006,-2.0,-2.0,1.57,10.464900000000002,30.348209999999984,0.0,0.0
1.3611000000000006,-2.0,-2.0,1.57,10.464900000000002,31.394699999999983,0.0,0.0
1.4111000000000007,-2.0,-2.0,1.57,10.464900000000002,32.441189999999985,0.0,0.0
1.4611000000000007,-2.0,-2.0,1.57,10.464900000000002,33.48767999999998,0.0,0.0
1.5111000000000008,-2.0,-2.0,1.57,10.464900000000002,34.53416999999998,0.0,0.0
1.5611000000000008,-2.0,-2.0,1.57,10.464900000000002,35.58065999999998,0.0,0.0
1.6111000000000009,-2.0,-2.0,1.57,10.464900000000002,36.62714999999998,0.0,0.0
1.661100000000001,-2.0,-2.0,1.57,10.464900000000002,37.67363999999998,0.0,0.0
1.711100000000001,-2.0,-2.0,1.57,10.464900000000002,38.720129999999976,0.0,0.0
1.761100000000001,-2.0,-2.0,1.57,10.464900000000002,39.766619999999975,0.0,0.0
1.811100000000001,-2.0,-2.0,1.57,10.464900000000002,40.81310999999997,0.0,0.0
1.861100000000001,-2.0,-2.0,1.57,10.464900000000002,41.85959999999997,0.0,0.0
1.9111000000000011,-2.0,-2.0,1.57,10.464900000000002,42.90608999999997,0.0,0.0
1.9611000000000012,-2.0,-2.0,1.57,10.464900000000002,43.95257999999997,0.0,0.0
2.011100000000001,-2.0,-2.0,1.57,10.464900000000002,44.99906999999997,0.0,0.0
2.061100000000001,-2.0,-2.0,1.57,10.464900000000002,46.045559999999966,0.0,0.0
2.111100000000001,-2.0,-2.0,1.57,10.464900000000002,47.092049999999965,0.0,0.0
2.1611000000000007,-2.0,-2.0,1.57,10.464900000000002,48.13853999999996,0.0,0.0
2.2111000000000005,-2.0,-2.0,1.57,10.464900000000002,49.18502999999996,0.0,0.0
2.2611000000000003,-2.0,-2.0,1.57,10.464900000000002,50.23151999999996,0.0,0.0
2.3111,-2.0,-2.0,1.57,10.464900000000002,51.27800999999996,0.0,0.0
2.3611,-2.0,-2.0,1.57,10.464900000000002,52.32449999999996,0.0,0.0
2.4111,-2.0,-2.0,1.57,10.464900000000002,53.370989999999956,0.0,0.0
2.4610999999999996,-2.0,-2.0,1.57,10.464900000000002,54.417479999999955,0.0,0.0
2.5110999999999994,-2.0,-2.0,1.57,10.464900000000002,55.463969999999954,0.0,0.0
2.5610999999999993,-2.0,-2.0,1.57,10.464900000000002,56.51045999999995,0.0,0.0
2.611099999999999,-2.0,-2.0,1.57,10.464900000000002,57.55694999999995,0.0,0.0
2.661099999999999,-2.0,-2.0,1.57,10.464900000000002,58.60343999999995,0.0,0.0
2.7110999999999987,-2.0,-2.0,1.57,10.464900000000002,59.64992999999995,0.0,0.0
2.7610999999999986,-2.0,-2.0,1.57,10.464900000000002,60.69641999999995,0.0,0.0
2.8110999999999984,-2.0,-2.0,1.57,10.464900000000002,61.742909999999945,0.0,0.0
2.861099999999998,-2.0,-2.0,1.57,10.464900000000002,62.789399999999944,0.0,0.0
2.911099999999998,-2.0,-2.0,1.57,10.464900000000002,63.83588999999994,0.0,0.0
2.961099999999998,-2.0,-2.0,1.57,10.464900000000002,64.88237999999994,0.0,0.0
3.0110999999999977,-2.0,-2.0,1.57,10.464900000000002,65.92886999999995,0.0,0.0
3.0610999999999975,-2.0,-2.0,1.57,10.464900000000002,66.97535999999995,0.0,0.0
3.1110999999999973,-2.0,-2.0,1.57,10.464900000000002,68.02184999999996,0.0,0.0
3.161099999999997,-2.0,-2.0,1.57,10.464900000000002,69.06833999999996,0.0,0.0
3.211099999999997,-2.0,-2.0,1.57,10.464900000000002,70.11482999999997,0.0,0.0
3.261099999999997,-2.0,-2.0,1.57,10.464900000000002,71.16131999999998,0.0,0.0
3.3110999999999966,-2.0,-2.0,1.57,10.464900000000002,72.20780999999998,0.0,0.0
3.3610999999999964,-2.0,-2.0,1.57,10.464900000000002,73.25429999999999,0.0,0.0
3.4110999999999962,-2.0,-2.0,1.57,10.464900000000002,74.30078999999999,0.0,0.0
3.461099999999996,-2.0,-2.0,1.57,10.464900000000002,75.34728,0.0,0.0
3.511099999999996,-2.0,-2.0,1.57,10.464900000000002,76.39377,0.0,0.0
3.5610999999999957,-2.0,-2.0,1.57,10.464900000000002,77.44026000000001,0.0,0.0
3.6110999999999955,-2.0,-2.0,1.57,10.464900000000002,78.48675000000001,0.0,0.0
3.6610999999999954,-2.0,-2.0,1.57,10.464900000000002,79.53324000000002,0.0,0.0
3.711099999999995,-2.0,-2.0,1.57,10.464900000000002,80.57973000000003,0.0,0.0
3.761099999999995,-2.0,-2.0,1.57,10.464900000000002,81.62622000000003,0.0,0.0
3.811099999999995,-2.0,-2.0,1.57,10.464900000000002,82.67271000000004,0.0,0.0
3.8610999999999946,-2.0,-2.0,1.57,10.464900000000002,83.71920000000004,0.0,0.0
3.9110999999999945,-2.0,-2.0,1.57,10.464900000000002,84.76569000000005,0.0,0.0
3.9610999999999943,-2.0,-2.0,1.57,10.464900000000002,85.81218000000005,0.0,0.0
4.011099999999995,-2.0,-2.0,1.57,10.464900000000002,86.85867000000006,0.0,0.0
4.061099999999994,-2.0,-2.0,1.57,10.464900000000002,87.90516000000007,0.0,0.0
4.111099999999994,-2.0,-2.0,1.57,10.464900000000002,88.95165000000007,0.0,0.0
4.161099999999994,-2.0,-2.0,1.57,10.464900000000002,89.99814000000008,0.0,0.0
4.211099999999994,-2.0,-2.0,1.57,10.464900000000002,91.04463000000008,0.0,0.0
4.261099999999994,-2.0,-2.0,1.57,10.464900000000002,92.09112000000009,0.0,0.0
4.3110999999999935,-2.0,-2.0,1.57,10.464900000000002,93.1376100000001,0.0,0.0
4.361099999999993,-2.0,-2.0,1.57,10.464900000000002,94.1841000000001,0.0,0.0
4.411099999999993,-2.0,-2.0,1.57,10.464900000000002,95.2305900000001,0.0,0.0
4.461099999999993,-2.0,-2.0,1.57,10.464900000000002,96.27708000000011,0.0,0.0
4.511099999999993,-2.0,-2.0,1.57,10.464900000000002,97.32357000000012,0.0,0.0
4.561099999999993,-2.0,-2.0,1.57,10.464900000000002,98.37006000000012,0.0,0.0
4.611099999999992,-2.0,-2.0,1.57,10.464900000000002,99.41655000000013,0.0,0.0
4.661099999999992,-2.0,-2.0,1.57,10.464900000000002,100.46304000000013,0.0,0.0
4.711099999999992,-2.0,-2.0,1.57,10.464900000000002,101.50953000000014,0.0,0.0
4.761099999999992,-2.0,-2.0,1.57,10.464900000000002,102.55602000000015,0.0,0.0
4.811099999999992,-2.0,-2.0,1.57,10.464900000000002,103.60251000000015,0.0,0.0
4.8610999999999915,-2.0,-2.0,1.57,10.464900000000002,104.64900000000016,0.0,0.0
4.911099999999991,-2.0,-2.0,1.57,10.464900000000002,105.69549000000016,0.0,0.0
4.961099999999991,-2.0,-2.0,1.57,10.464900000000002,106.74198000000017,0.0,0.0
5.011099999999991,-2.0,-2.0,1.57,10.464900000000002,107.78847000000017,0.0,0.0
5.061099999999991,-2.0,-2.0,1.57,10.464900000000002,108.83496000000018,0.0,0.0
5.111099999999991,-2.0,-2.0,1.57,10.464900000000002,109.88145000000019,0.0,0.0
5.1610999999999905,-2.0,-2.0,1.57,10.464900000000002,110.92794000000019,0.0,0.0
5.21109999999999,-2.0,-2.0,1.57,10.464900000000002,111.9744300000002,0.0,0.0
5.26109999999999,-2.0,-2.0,1.57,10.464900000000002,113.0209200000002,0.0,0.0
5.31109999999999,-2.0,-2.0,1.57,10.464900000000002,114.06741000000021,0.0,0.0
5.36109999999999,-2.0,-2.0,1.57,10.464900000000002,115.11390000000021,0.0,0.0
5.41109999999999,-2.0,-2.0,1.57,10.464900000000002,116.16039000000022,0.0,0.0
5.461099999999989,-2.0,-2.0,1.57,10.464900000000002,117.20688000000023,0.0,0.0
5.511099999999989,-2.0,-2.0,1.57,10.464900000000002,118.25337000000023,0.0,0.0
5.561099999999989,-2.0,-2.0,1.57,10.464900000000002,119.29986000000024,0.0,0.0
5.611099999999989,-2.0,-2.0,1.57,10.464900000000002,120.34635000000024,0.0,0.0
5.661099999999989,-2.0,-2.0,1.57,10.464900000000002,121.39284000000025,0.0,0.0
5.7110999999999885,-2.0,-2.0,1.57,10.464900000000002,122.43933000000025,0.0,0.0
5.761099999999988,-2.0,-2.0,1.57,10.464900000000002,123.48582000000026,0.0,0.0
5.811099999999988,-2.0,-2.0,1.57,10.464900000000002,124.53231000000027,0.0,0.0
5.861099999999988,-2.0,-2.0,1.57,10.464900000000002,125.57880000000027,0.0,0.0
5.911099999999988,-2.0,-2.0,1.57,10.464900000000002,126.62529000000028,0.0,0.0
5.961099999999988,-2.0,-2.0,1.57,10.464900000000002,127.67178000000028,0.0,0.0
6.0110999999999875,-2.0,-2.0,1.57,10.464900000000002,128.71827000000027,0.0,0.0
6.061099999999987,-2.0,-2.0,1.57,10.464900000000002,129.76476000000028,0.0,0.0
6.111099999999987,-2.0,-2.0,1.57,10.464900000000002,130.81125000000029,0.0,0.0
6.161099999999987,-2.0,-2.0,1.57,10.464900000000002,131.8577400000003,0.0,0.0
